# Site-hosted image URL mapping, Phase B batch 2. Hashes computed with Rollup (the algorithm Astro uses for /_astro/ asset names); the 72 published posts' live og:image values matched the computed old URLs 72/72.
# served_today: production HTTP status of old_url on 2026-09-18 before the batch. 404 = original never emitted (only sized derivatives), no redirect needed.
# old_url	new_url	served_today	role	post_slug
https://kenashe.ai/_astro/hero.DlXhRiXX.png	https://kenashe.ai/_astro/hero.CrTkHoVt.webp	200	hero (og:image + Article.image)	2026-07-03-orbitquant-makes-diffusion-quantization-less-tied-to-calibration-sets
https://kenashe.ai/_astro/inline-1.r4OBHx6j.png	https://kenashe.ai/_astro/inline-1.CgRdJeWc.webp	404	inline (in-page only)	2026-07-03-orbitquant-makes-diffusion-quantization-less-tied-to-calibration-sets
https://kenashe.ai/_astro/hero.BUwPYbbm.png	https://kenashe.ai/_astro/hero.De1L-pQI.webp	200	hero (og:image + Article.image)	2026-07-03-speaker-recognition-is-a-better-agent-test-than-another-chat-demo
https://kenashe.ai/_astro/inline-1.C3GgrNH0.png	https://kenashe.ai/_astro/inline-1.Bb_wYD3A.webp	404	inline (in-page only)	2026-07-03-speaker-recognition-is-a-better-agent-test-than-another-chat-demo
https://kenashe.ai/_astro/hero.CwHegtrp.png	https://kenashe.ai/_astro/hero.7bOoT050.webp	200	hero (og:image + Article.image)	2026-07-03-testevo-bench-moves-coding-agent-evals-closer-to-real-maintenance
https://kenashe.ai/_astro/inline-1.DnksaxwS.png	https://kenashe.ai/_astro/inline-1.MiiIL_BY.webp	404	inline (in-page only)	2026-07-03-testevo-bench-moves-coding-agent-evals-closer-to-real-maintenance
https://kenashe.ai/_astro/hero.X7ZkYOeB.png	https://kenashe.ai/_astro/hero.mMEeGda8.webp	200	hero (og:image + Article.image)	2026-07-03-the-safety-case-for-a-boring-threshold
https://kenashe.ai/_astro/inline-1.B57E-0lA.png	https://kenashe.ai/_astro/inline-1.BZPMR84h.webp	404	inline (in-page only)	2026-07-03-the-safety-case-for-a-boring-threshold
https://kenashe.ai/_astro/inline-2.CyCROhmB.png	https://kenashe.ai/_astro/inline-2.DZm6CuH-.webp	404	inline (in-page only)	2026-07-03-the-safety-case-for-a-boring-threshold
https://kenashe.ai/_astro/inline-3.CWasuhEw.png	https://kenashe.ai/_astro/inline-3.DekBiEvk.webp	404	inline (in-page only)	2026-07-03-the-safety-case-for-a-boring-threshold
https://kenashe.ai/_astro/hero.BdAeqtZL.png	https://kenashe.ai/_astro/hero.DqEwwlf8.webp	200	hero (og:image + Article.image)	2026-07-03-unlearning-that-hides-instead-of-erases-what-lacuna-exposes
https://kenashe.ai/_astro/inline-1.BoB4ZJ2v.png	https://kenashe.ai/_astro/inline-1.jW4gfr7X.webp	404	inline (in-page only)	2026-07-03-unlearning-that-hides-instead-of-erases-what-lacuna-exposes
https://kenashe.ai/_astro/inline-2.DOk_Eudi.png	https://kenashe.ai/_astro/inline-2.Dk_p6VDQ.webp	404	inline (in-page only)	2026-07-03-unlearning-that-hides-instead-of-erases-what-lacuna-exposes
