# Batch 4 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before	has_hero_frontmatter
2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others	False	200	1	https://kenashe.ai/_astro/hero.DNP5ucPa.png	True
2026-07-24-synthetic-defects-for-real-printing-line-inspection	False	200	1	https://kenashe.ai/_astro/hero.L2arRIQF.png	True
2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product	False	200	1	https://kenashe.ai/_astro/hero.Betv4TFU.png	True
2026-07-24-timepns-makes-time-series-explanations-prove-necessity	False	200	1	https://kenashe.ai/_astro/hero.DciqlH_2.png	True
2026-07-24-training-agents-inside-the-harness-they-actually-ship-with	False	200	1	https://kenashe.ai/_astro/hero.sOvpB09J.png	True
2026-07-24-vlm-ie3d-gives-2d-video-models-a-better-sense-of-space	False	200	1	https://kenashe.ai/_astro/hero.7T5ST3VM.png	True
2026-07-24-worlds-52-5m-bet-on-proof-of-human-for-agents	False	200	1	https://kenashe.ai/_astro/hero.O8XEeQNh.png	True
2026-07-25-ai-usage-metrics-should-move-from-tokens-burned-to-outcomes-shipped	False	200	1	https://kenashe.ai/_astro/hero.vWGpTmmT.png	True
2026-07-25-anthropics-sdk-just-named-claude-opus-5-and-added-mid-stream-tool-swaps	False	200	1	https://kenashe.ai/_astro/hero.CIOEIMZA.png	True
2026-07-25-claudes-useful-frame-for-model-knowledge-broad-frozen-uneven	False	200	1	https://kenashe.ai/_astro/hero.Bhm46iWe.png	True
2026-07-25-half-life-2-on-haikuos-and-the-ai-runtime-tax	False	200	1	https://kenashe.ai/_astro/hero.B1a5ezxy.png	True
2026-07-25-open-weight-ai-regulation-should-target-use-not-model-files	False	200	1	https://kenashe.ai/_astro/hero.b0BfW124.png	True
2026-07-25-opus-5-beats-anthropics-own-fable-5-on-price-per-task-not-just-benchmarks	True	404	0	https://kenashe.ai/og-default.png	True
2026-07-25-the-ai-kill-switch-act-targets-frontier-ai-operations	False	200	1	https://kenashe.ai/_astro/hero.BC9WG__8.png	True
2026-07-25-treat-rogue-ai-hacker-stories-as-incident-reports-not-movie-trailers	False	200	1	https://kenashe.ai/_astro/hero.CpCHpT9N.png	True
2026-07-25-treat-the-irgc-bahrain-claim-as-an-ai-cloud-failover-drill	False	200	1	https://kenashe.ai/_astro/hero.CNthfw-M.png	True
2026-07-25-what-claude-opus-5s-system-card-actually-tells-builders	True	404	0	https://kenashe.ai/og-default.png	True
2026-07-26-brollys-plain-text-weather-page-is-an-ai-product-lesson	False	200	1	https://kenashe.ai/_astro/hero.DfzdRqGC.png	True
2026-07-26-cloudflare-turns-ai-crawling-into-a-traffic-control-problem	False	200	1	https://kenashe.ai/_astro/hero.Do0w2nzI.png	True
2026-07-26-context-engineering-is-becoming-product-design-for-claude-style-apps	False	200	1	https://kenashe.ai/_astro/hero.B8aAd6AL.png	True
2026-07-26-debians-llm-debate-is-really-about-maintainership	False	200	1	https://kenashe.ai/_astro/hero.CzASoUtL.png	True
2026-07-26-deepseeks-paused-raise-and-the-compute-gap-nobody-wants-to-quote	False	200	1	https://kenashe.ai/_astro/hero.Cf4zBjee.png	True
2026-07-26-inklings-first-real-test-is-not-the-headline-benchmark	False	200	1	https://kenashe.ai/_astro/hero.Bzodp9it.png	True
2026-07-26-open-weight-ai-is-moving-from-model-choice-to-operations	False	200	1	https://kenashe.ai/_astro/hero.DQ583WhK.png	True
2026-07-26-the-entry-level-job-question-what-the-2026-data-actually-shows	True	404	0	https://kenashe.ai/og-default.png	True
2026-07-26-tiny-llms-on-8-microcontrollers-are-an-edge-pattern-not-a-chatbot-story	False	200	1	https://kenashe.ai/_astro/hero.D1UpBIV1.png	True
2026-07-26-what-grapheneos-teaches-builders-about-on-device-ai-and-locked-data	False	200	1	https://kenashe.ai/_astro/hero.BhFVbL1W.png	True
2026-07-27-agent-routers-should-pick-once-per-task-not-once-per-call	False	200	1	https://kenashe.ai/_astro/hero.DhjOI6KP.png	True
2026-07-27-animal-calls-expose-what-audio-embeddings-learn-by-accident	False	200	1	https://kenashe.ai/_astro/hero.C6-wmEnB.png	True
2026-07-27-causalforge-makes-ai-research-agents-prove-their-work	False	200	1	https://kenashe.ai/_astro/hero.CHn64ooZ.png	True
2026-07-27-coinbases-ai-agent-bet-is-payments-plumbing-not-an-ai-pivot	False	200	1	https://kenashe.ai/_astro/hero.B0WDXUuk.png	True
2026-07-27-hyperball-optimizers-still-need-learning-rate-discipline	False	200	1	https://kenashe.ai/_astro/hero.CaqcyGbT.png	True
2026-07-27-llama-stacks-two-patch-releases-are-a-reminder-your-ai-deps-are-the-attack	False	200	1	https://kenashe.ai/_astro/hero.1MQB8Hay.png	True
2026-07-27-lora-makes-lora-tuning-selective-instead-of-uniform	False	200	1	https://kenashe.ai/_astro/hero.C4szVx5b.png	True
2026-07-27-quantum-spectral-models-encoding-a-matrixs-structure-into-the-circuit-itself	False	200	1	https://kenashe.ai/_astro/hero.BnHJHdGe.png	True
2026-07-27-the-same-model-name-gave-two-different-answers-about-pseudo-science	False	200	1	https://kenashe.ai/_astro/hero.CJbWIwiu.png	True
2026-07-27-zipchats-40k-com-buy-is-really-about-reducing-buyer-doubt	False	200	1	https://kenashe.ai/_astro/hero.BbFpZXke.png	True
2026-07-28-autonomous-research-needs-a-budget-scoreboard	False	200	1	https://kenashe.ai/_astro/hero.Dc8edibX.png	True
2026-07-28-chatgpt-work-turns-sales-ai-into-a-revenue-feedback-loop	False	200	1	https://kenashe.ai/_astro/hero.Ci7dOIkS.png	True
