# Raw GitHub URL changes, Phase B batch 4
# PNG paths 404 at master after the batch; permanent at pre-batch commit 844905d57006762486a000c0d64001515db3a72d; WebP path valid at master.
# old_master_url	permanent_pre_merge_url	new_master_url
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others/hero.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-mirror-trains-vision-models-by-making-each-modality-teach-the-others/inline-1.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-synthetic-defects-for-real-printing-line-inspection/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-synthetic-defects-for-real-printing-line-inspection/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-synthetic-defects-for-real-printing-line-inspection/hero.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-synthetic-defects-for-real-printing-line-inspection/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-synthetic-defects-for-real-printing-line-inspection/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-synthetic-defects-for-real-printing-line-inspection/inline-1.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/hero.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-1.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-2.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-2.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-2.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-3.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-3.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-the-automation-ceiling-nobody-prices-in-when-human-participation-is-the-product/inline-3.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-timepns-makes-time-series-explanations-prove-necessity/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-timepns-makes-time-series-explanations-prove-necessity/hero.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-timepns-makes-time-series-explanations-prove-necessity/hero.webp
https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-timepns-makes-time-series-explanations-prove-necessity/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/844905d57006762486a000c0d64001515db3a72d/src/assets/blog/2026-07-24-timepns-makes-time-series-explanations-prove-necessity/inline-1.png	https://raw.githubusercontent.com/kenashe/kenashe/master/src/assets/blog/2026-07-24-timepns-makes-time-series-explanations-prove-necessity/inline-1.webp
