# Batch 3 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before
2026-07-14-dictionary-work-is-a-sharp-test-for-human-centered-ai	True	404	0	https://kenashe.ai/og-default.png
2026-07-14-frugal-nas-on-an-rtx-3060-is-the-useful-part	True	404	0	https://kenashe.ai/og-default.png
2026-07-14-judge-bias-lives-in-the-activations-not-just-the-prompt	False	200	1	https://kenashe.ai/_astro/hero.BdmVqgp7.png
2026-07-14-regrinds-one-demo-recipe-for-robot-hands	False	200	1	https://kenashe.ai/_astro/hero.Bvl9yj_b.png
2026-07-14-teaching-feedback-benchmark-says-the-protocol-matters-more-than-the-model	True	404	0	https://kenashe.ai/og-default.png
2026-07-14-transformer-circuits-may-be-lower-dimensional-than-they-look	False	200	1	https://kenashe.ai/_astro/hero.CV8RBQT2.png
2026-07-14-transformer-theory-moves-from-can-represent-to-can-learn	False	200	1	https://kenashe.ai/_astro/hero.m2tqJizW.png
2026-07-14-what-a-model-knows-about-what-it-knows	False	200	1	https://kenashe.ai/_astro/hero.B7qO8dfR.png
2026-07-15-agents-over-read-the-case-for-complexity-aware-execution	True	404	0	https://kenashe.ai/og-default.png
2026-07-15-bonsai-27b-makes-local-agents-smaller-not-magically-smarter	False	200	1	https://kenashe.ai/_astro/hero.QHUc3XgC.png
2026-07-15-bonsai-27b-makes-phone-inference-the-claim-to-inspect	False	200	1	https://kenashe.ai/_astro/hero.DEH2VFgL.png
2026-07-15-claude-for-teachers-is-really-a-feedback-loop-product	False	200	1	https://kenashe.ai/_astro/hero.DOMI5acA.png
2026-07-15-memory-failures-hide-behind-correct-answers-what-memops-exposes	False	200	1	https://kenashe.ai/_astro/hero.D5io0tdr.png
2026-07-15-palmclaw-and-the-case-for-tool-first-mobile-agents	False	200	1	https://kenashe.ai/_astro/hero.oT3AJJQB.png
2026-07-15-self-repair-in-small-code-models-may-be-measuring-retry-form-not-error-content	False	200	1	https://kenashe.ai/_astro/hero.yV0YxMpf.png
2026-07-15-terrazero-bets-on-self-play-for-the-driving-long-tail	False	200	1	https://kenashe.ai/_astro/hero.NKrKbp9N.png
2026-07-15-useful-work-per-dollar-is-the-agent-metric-that-matters	False	200	1	https://kenashe.ai/_astro/hero.D40vlNfd.png
2026-07-15-voice-ai-needs-a-human-quality-test-not-another-pretty-demo	False	200	1	https://kenashe.ai/_astro/hero.DWOjlHgK.png
2026-07-16-bioresilience-is-the-better-frame-for-biology-ai-safety	True	404	0	https://kenashe.ai/og-default.png
2026-07-16-depth-breaks-rank-before-it-breaks-loss	False	200	1	https://kenashe.ai/_astro/hero.Bqu_J9wy.png
2026-07-16-feature-selection-is-still-eating-renewable-power-forecasts	True	404	0	https://kenashe.ai/og-default.png
2026-07-16-gpt-red-turns-red-teaming-into-a-loop-not-an-event	False	200	1	https://kenashe.ai/_astro/hero.BCNvpipb.png
2026-07-16-grok-builds-apache-2-0-release-puts-the-boring-work-on-users	False	200	1	https://kenashe.ai/_astro/hero.B5FKvAfN.png
2026-07-16-new-model-releases-do-not-reset-the-advantage	False	200	1	https://kenashe.ai/_astro/hero.CwdGNpoX.png
2026-07-16-openais-reverse-federalism-bet-for-ai-rules	True	404	0	https://kenashe.ai/og-default.png
2026-07-16-the-manchu-ocr-paper-is-really-a-lesson-in-reusing-checkpoints-you-already-have	True	404	0	https://kenashe.ai/og-default.png
2026-07-16-the-one-shot-trap-in-agent-optimization	False	200	1	https://kenashe.ai/og-default.png
2026-07-16-what-25-264-agentic-pull-requests-reveal-about-real-adoption	True	404	0	https://kenashe.ai/og-default.png
2026-07-17-opd2-tries-to-distill-reasoning-by-subtracting-the-base-model	False	200	1	https://kenashe.ai/_astro/hero.BzN0tMqT.png
2026-07-17-openais-ai-scorecard-moves-roi-from-demos-to-completed-work	True	404	0	https://kenashe.ai/og-default.png
2026-07-17-openais-teen-safety-push-is-really-about-managed-access	True	404	0	https://kenashe.ai/og-default.png
2026-07-17-paper-revisions-as-training-data-what-scidiagramedit-gets-right-about-figure	False	200	1	https://kenashe.ai/_astro/hero.CC1jxMyz.png
2026-07-17-public-comment-boxes-are-a-pretraining-poison-path	False	200	1	https://kenashe.ai/_astro/hero.ER9GMd3u.png
2026-07-17-robottt-treats-robot-memory-as-trainable-state-not-a-longer-prompt	False	200	1	https://kenashe.ai/_astro/hero.CRqgdEhM.png
2026-07-17-the-missing-half-of-rl-for-diffusion-language-models	False	200	1	https://kenashe.ai/_astro/hero.DHP-ykKf.png
2026-07-17-the-tokenizer-tax-on-non-english-users-and-a-recipe-to-cut-it	False	200	1	https://kenashe.ai/_astro/hero.BooiQ0lA.png
2026-07-17-uncertainty-metrics-should-follow-the-loss-not-the-other-way-around	False	200	1	https://kenashe.ai/_astro/hero.Ds-CKfsH.png
2026-07-17-virgin-atlantics-chatgpt-story-is-really-about-workflow-compression	False	200	1	https://kenashe.ai/_astro/hero.DdWtH2xF.png
2026-07-18-boeings-restored-sign-off-power-is-the-ai-governance-analogy-hiding-in-plain	True	404	0	https://kenashe.ai/og-default.png
2026-07-18-chatgpts-computer-control-turns-the-browser-into-the-new-agent-runtime	False	200	1	https://kenashe.ai/_astro/hero.DQEZqm7M.png
2026-07-18-healthcare-ai-breaks-first-where-labor-is-already-thin	True	404	0	https://kenashe.ai/og-default.png
2026-07-18-kimi-k3-and-the-narrow-win-that-matters-for-next-js-builders	False	200	1	https://kenashe.ai/_astro/hero.CXBOmpkm.png
2026-07-18-kimi-k3-tops-one-front-end-benchmark-read-the-rest-of-the-chart	False	200	1	https://kenashe.ai/_astro/hero.D4KdePdV.png
2026-07-18-nemo-automodel-and-diffusers-what-changes-when-video-fine-tuning-stops-being-a	True	404	0	https://kenashe.ai/og-default.png
2026-07-18-open-ai-is-a-stack-problem-not-a-license-argument	False	200	1	https://kenashe.ai/_astro/hero.nIpEG66h.png
2026-07-18-shopifys-agent-lesson-is-delegation-not-autonomy	False	200	1	https://kenashe.ai/_astro/hero.CLpHNdeR.png
2026-07-18-texas-takes-age-checks-to-the-domain-layer	True	404	0	https://kenashe.ai/og-default.png
2026-07-18-the-radial-blob-why-ai-logos-all-look-the-same	True	404	0	https://kenashe.ai/og-default.png
2026-07-19-goal-prompting-is-not-a-solver-for-np-hard-search	False	200	1	https://kenashe.ai/_astro/hero.B8NKmLck.png
2026-07-19-handing-claude-code-a-spare-mac-the-cost-and-the-catch	True	404	0	https://kenashe.ai/og-default.png
2026-07-19-kimi-k3s-spreadsheetbench-win-is-a-signal-not-a-coronation	False	200	1	https://kenashe.ai/_astro/hero.CcpysZK5.png
2026-07-19-kimi-puts-open-weights-in-the-capex-debate	False	200	1	https://kenashe.ai/_astro/hero.XucMULXq.png
2026-07-19-nycs-ai-disclosure-bill-puts-real-estate-on-notice	True	404	0	https://kenashe.ai/og-default.png
2026-07-19-qwens-next-move-matters-after-the-weights-land	False	200	1	https://kenashe.ai/_astro/hero.Bg_giXjR.png
2026-07-19-stack-overflows-ai-problem-is-the-missing-feedback-loop	False	200	1	https://kenashe.ai/_astro/hero.BO9fTTy2.png
2026-07-19-the-cost-of-deferring-judgment-to-the-machine	True	404	0	https://kenashe.ai/og-default.png
2026-07-19-the-gpt-5-6-convex-optimization-claim-is-really-a-reproducibility-story	True	404	0	https://kenashe.ai/og-default.png
2026-07-19-the-qwen3-8-rumor-is-really-a-vram-planning-signal	False	200	1	https://kenashe.ai/_astro/hero.CYPugG34.png
2026-07-20-ai-trustworthiness-needs-a-lifecycle-change-log	False	200	1	https://kenashe.ai/_astro/hero.DWyzg6UJ.png
2026-07-20-chess-shows-what-rl-actually-does-to-a-reasoning-model	False	200	1	https://kenashe.ai/_astro/hero.C6xxAyYI.png
2026-07-20-craft-turns-rubrics-into-a-fine-tuning-map	False	200	1	https://kenashe.ai/_astro/hero.CVODgE4v.png
2026-07-20-dadiff-uses-diffusion-to-measure-when-an-rl-policy-stops-transferring	False	200	1	https://kenashe.ai/_astro/hero.C8JL073B.png
2026-07-20-multi-agent-systems-help-when-the-messages-are-good-enough	True	404	0	https://kenashe.ai/og-default.png
2026-07-20-muons-agent-rl-win-is-real-narrow-and-stack-dependent	False	200	1	https://kenashe.ai/_astro/hero.DbL-n3VN.png
