# Batch 9 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before	has_hero_frontmatter
2026-09-13-local-llms-are-getting-useful-because-constraints-are-back	False	200	1	https://kenashe.ai/_astro/hero.Cf8iNoZs.png	True
2026-09-13-real-swe-and-the-case-for-testing-coding-agents-on-code-they-have-never-seen	False	200	1	https://kenashe.ai/_astro/hero.BUoCBLdx.png	True
2026-09-13-search-console-is-not-enough-for-ai-search-visibility	False	200	1	https://kenashe.ai/_astro/hero.BLN5v5Nz.png	True
2026-09-13-the-hugging-bay-and-the-weak-link-in-open-model-distribution	False	200	1	https://kenashe.ai/_astro/hero.O5aWfyIK.png	True
2026-09-13-the-only-safe-pace-for-ai-is-everyone-elses	False	200	1	https://kenashe.ai/_astro/hero.Ds7G3NLI.png	True
2026-09-13-the-useful-part-of-calling-nvidia-ais-central-bank	False	200	1	https://kenashe.ai/_astro/hero.ccdTiVue.png	True
2026-09-13-when-agents-lie-to-pass-the-eval	False	200	1	https://kenashe.ai/_astro/hero.AaXe-ynu.png	True
2026-09-14-a-vulnerability-is-not-fixed-because-an-ai-bot-saw-it	False	200	1	https://kenashe.ai/_astro/hero.DAQqcdwt.png	True
2026-09-14-garry-tans-distillation-argument-is-really-about-ai-capability-access	False	200	1	https://kenashe.ai/_astro/hero.CJZAYelv.png	True
2026-09-14-jpeg-xl-is-a-workflow-question-not-a-format-war	False	200	1	https://kenashe.ai/_astro/hero.D_dzJYfZ.png	True
2026-09-14-running-async-grpo-with-lora-on-hugging-face-jobs-no-nccl-required	True	404	0	https://kenashe.ai/og-default.png	True
2026-09-14-siri-as-a-model-router-not-a-single-assistant	False	200	1	https://kenashe.ai/_astro/hero.BVx4TEAY.png	True
2026-09-14-the-thin-claim-behind-no-regulation-for-frontier-model-pacing	False	200	1	https://kenashe.ai/_astro/hero.DI3tTuou.png	True
2026-09-14-trumps-ai-guardrails-argument-turns-safety-into-a-power-question	False	200	1	https://kenashe.ai/_astro/hero.B_hIziRH.png	True
2026-09-14-turn-repeat-marketing-work-into-tools-not-just-prompts	False	200	1	https://kenashe.ai/_astro/hero.Cft6Pkmk.png	True
2026-09-14-what-fyxers-ai-inbox-assistant-gets-right-about-trust	False	200	1	https://kenashe.ai/_astro/hero.CiFlqT4T.png	True
2026-09-14-what-llama-cpp-v0-4-1-tells-you-about-where-local-ai-is-heading	False	200	1	https://kenashe.ai/_astro/hero.CRPQApc5.png	True
2026-09-15-ai-slowdown-promises-break-without-enforcement	False	200	1	https://kenashe.ai/_astro/hero.F2PVMa3_.png	True
2026-09-15-bellman-policy-optimization-cuts-one-moving-part-from-rlvr	False	200	1	https://kenashe.ai/_astro/hero.D-R7cdmF.png	True
2026-09-15-federated-learning-gets-more-practical-when-privacy-and-timing-are-treated	False	200	1	https://kenashe.ai/_astro/hero.gwSvquWB.png	True
2026-09-15-k-bench-tests-mental-health-chatbots-where-generic-safety-evals-do-not	False	200	1	https://kenashe.ai/_astro/hero.CxbSAVeW.png	True
2026-09-15-llm-personas-fail-when-opinions-have-to-change	False	200	1	https://kenashe.ai/_astro/hero.Cu0yhdMD.png	True
2026-09-15-optiflow-treats-offline-rl-policy-learning-as-sample-matching	False	200	1	https://kenashe.ai/_astro/hero.TzfzcZuW.png	True
2026-09-15-selling-on-chatgpt-starts-with-answer-visibility-not-ad-tactics	False	200	1	https://kenashe.ai/_astro/hero.BlRWCqtM.png	True
2026-09-15-slip-detection-is-where-robot-hands-stop-dropping-things	False	200	1	https://kenashe.ai/_astro/hero.CrifEj-S.png	True
2026-09-15-stellar-colosseum-and-the-case-for-spending-inference-like-a-research-team	True	404	0	https://kenashe.ai/og-default.png	True
2026-09-15-the-skill-router-you-already-have-gavel-reads-routing-from-a-frozen-llm	False	200	1	https://kenashe.ai/_astro/hero.CmHdvZ8M.png	True
2026-09-16-ai-agents-obey-the-metric-not-the-memo	True	404	0	https://kenashe.ai/og-default.png	True
2026-09-16-caremirror-puts-caregiver-consent-at-the-center-of-dementia-ai	False	200	1	https://kenashe.ai/_astro/hero.CnfCG_WC.png	True
2026-09-16-distillation-needs-calibration-when-the-teacher-is-biased	False	200	1	https://kenashe.ai/_astro/hero.DZDZo8m0.png	True
2026-09-16-encp-gives-navigation-agents-a-usable-uncertainty-check	False	200	1	https://kenashe.ai/_astro/hero.DTi1qm8r.png	True
2026-09-16-fuse-tests-the-weak-spot-in-ai-social-advice	False	200	1	https://kenashe.ai/_astro/hero.BlNG_tK0.png	True
2026-09-16-lace-compresses-speech-tokens-one-codec-layer-at-a-time	False	200	1	https://kenashe.ai/_astro/hero.CNQohF8P.png	True
2026-09-16-mistral-and-mozilla-put-ai-in-the-browser-what-private-actually-means-here	False	200	1	https://kenashe.ai/_astro/hero.L2S8k4Tq.png	True
2026-09-16-sciencebuddy-and-the-case-for-training-the-harness-before-the-model	False	200	1	https://kenashe.ai/_astro/hero.CuwW3LtY.png	True
2026-09-16-teaching-models-to-say-i-dont-know-with-a-prompt-not-a-retrain	False	200	1	https://kenashe.ai/_astro/hero.B2_HfZ3J.png	True
2026-09-16-zuckerbergs-case-for-solo-ai-slowdowns	False	200	1	https://kenashe.ai/_astro/hero.AZ3lYp1u.png	True
