# Batch 8 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before	has_hero_frontmatter
2026-09-03-bare-assertions-are-a-weak-spot-for-medical-reasoning-models	False	200	1	https://kenashe.ai/_astro/hero.vJEAk2Qj.png	True
2026-09-03-declarative-attention-lets-models-skip-the-context-they-do-not-need	False	200	1	https://kenashe.ai/_astro/hero.CV0mhruC.png	True
2026-09-03-influence-functions-point-at-the-right-data-rewriting-it-beats-reweighting-it	False	200	1	https://kenashe.ai/_astro/hero.BV-641l2.png	True
2026-09-03-nyc-schools-pause-generative-ai-except-for-controlled-pilots	False	200	1	https://kenashe.ai/_astro/hero.C6XGl_3Q.png	True
2026-09-03-repo-distilled-skills-are-the-missing-middle-layer-for-research-agents	False	200	1	https://kenashe.ai/_astro/hero.BSlX3Na0.png	True
2026-09-03-web-agents-need-useful-predictions-not-prettier-page-snapshots	False	200	1	https://kenashe.ai/_astro/hero.D8fe5A5_.png	True
2026-09-03-when-a-language-models-odds-dont-add-up	False	200	1	https://kenashe.ai/_astro/hero.CtZpkEE8.png	True
2026-09-04-a-tiny-autonomous-car-testbed-makes-sim-to-real-less-hand-wavy	False	200	1	https://kenashe.ai/_astro/hero.CK73N7Wx.png	True
2026-09-04-auxiliary-views-explain-why-diverse-pre-training-data-works	False	200	1	https://kenashe.ai/_astro/hero.D6PYQDHl.png	True
2026-09-04-chatgpt-commerce-has-a-checkout-problem	False	200	1	https://kenashe.ai/_astro/hero.Bh8mDTB9.png	True
2026-09-04-compiling-a-prompt-into-a-small-neural-function-you-can-version	False	200	1	https://kenashe.ai/_astro/hero.CsynmYZH.png	True
2026-09-04-espos-fix-for-prompt-bloat-diagnose-errors-then-stop-appending-rules	False	200	1	https://kenashe.ai/_astro/hero.CefH3GTi.png	True
2026-09-04-gpt-6-astras-benchmark-wins-are-real-the-agi-framing-isnt	True	404	0	https://kenashe.ai/og-default.png	True
2026-09-04-hosted-llm-judges-are-not-fixed-instruments	False	200	1	https://kenashe.ai/_astro/hero.C4jBUfaX.png	True
2026-09-04-on-policy-distillation-may-need-fewer-prompts-and-better-absorption	False	200	1	https://kenashe.ai/_astro/hero.aVyoIcJW.png	True
2026-09-04-terminal-universe-turns-code-agent-logs-into-reusable-sandboxes	False	200	1	https://kenashe.ai/_astro/hero.DSIfcr1J.png	True
2026-09-04-the-openai-agent-hack-report-is-a-disclosure-problem-first	False	200	1	https://kenashe.ai/_astro/hero.BAcXZZjA.png	True
