# Site-hosted image URL mapping, Phase B batch 9. Hashes computed with Rollup (the algorithm Astro uses for /_astro/ asset names).
# served_today: production HTTP status of old_url before the batch. 404 = original never emitted (only sized derivatives), no redirect needed.
# old_url	new_url	served_today	role	post_slug
https://kenashe.ai/_astro/hero.Cf8iNoZs.png	https://kenashe.ai/_astro/hero.BqiwG3Ch.webp	200	hero (og:image + Article.image)	2026-09-13-local-llms-are-getting-useful-because-constraints-are-back
https://kenashe.ai/_astro/inline-1.DWbIdCV0.png	https://kenashe.ai/_astro/inline-1.DORSr1-b.webp	404	inline (in-page only)	2026-09-13-local-llms-are-getting-useful-because-constraints-are-back
https://kenashe.ai/_astro/hero.BUoCBLdx.png	https://kenashe.ai/_astro/hero.B3nO9MDV.webp	200	hero (og:image + Article.image)	2026-09-13-real-swe-and-the-case-for-testing-coding-agents-on-code-they-have-never-seen
https://kenashe.ai/_astro/inline-1.CG-nu_EO.png	https://kenashe.ai/_astro/inline-1.G3JkR3if.webp	404	inline (in-page only)	2026-09-13-real-swe-and-the-case-for-testing-coding-agents-on-code-they-have-never-seen
https://kenashe.ai/_astro/inline-2.v2aXFoSU.png	https://kenashe.ai/_astro/inline-2.C0XwPy-r.webp	404	inline (in-page only)	2026-09-13-real-swe-and-the-case-for-testing-coding-agents-on-code-they-have-never-seen
https://kenashe.ai/_astro/inline-3._4vcbo55.png	https://kenashe.ai/_astro/inline-3.E_Xy3KhM.webp	404	inline (in-page only)	2026-09-13-real-swe-and-the-case-for-testing-coding-agents-on-code-they-have-never-seen
https://kenashe.ai/_astro/hero.BLN5v5Nz.png	https://kenashe.ai/_astro/hero.Zd_-LEJl.webp	200	hero (og:image + Article.image)	2026-09-13-search-console-is-not-enough-for-ai-search-visibility
https://kenashe.ai/_astro/inline-1.CrRH55gM.png	https://kenashe.ai/_astro/inline-1.Cvx9ATjK.webp	404	inline (in-page only)	2026-09-13-search-console-is-not-enough-for-ai-search-visibility
https://kenashe.ai/_astro/hero.O5aWfyIK.png	https://kenashe.ai/_astro/hero.B_7Bz25h.webp	200	hero (og:image + Article.image)	2026-09-13-the-hugging-bay-and-the-weak-link-in-open-model-distribution
https://kenashe.ai/_astro/inline-1.DBvIh9dm.png	https://kenashe.ai/_astro/inline-1.Ci0RR9yi.webp	404	inline (in-page only)	2026-09-13-the-hugging-bay-and-the-weak-link-in-open-model-distribution
https://kenashe.ai/_astro/hero.Ds7G3NLI.png	https://kenashe.ai/_astro/hero.DY8oWNYG.webp	200	hero (og:image + Article.image)	2026-09-13-the-only-safe-pace-for-ai-is-everyone-elses
https://kenashe.ai/_astro/inline-1.Dh8sLd8V.png	https://kenashe.ai/_astro/inline-1.B3Oyd104.webp	404	inline (in-page only)	2026-09-13-the-only-safe-pace-for-ai-is-everyone-elses
https://kenashe.ai/_astro/inline-2.CidlAEWD.png	https://kenashe.ai/_astro/inline-2.BIxfy224.webp	404	inline (in-page only)	2026-09-13-the-only-safe-pace-for-ai-is-everyone-elses
https://kenashe.ai/_astro/inline-3.p1kyUJSB.png	https://kenashe.ai/_astro/inline-3.Uvg8NcK_.webp	404	inline (in-page only)	2026-09-13-the-only-safe-pace-for-ai-is-everyone-elses
https://kenashe.ai/_astro/hero.ccdTiVue.png	https://kenashe.ai/_astro/hero.BswZTBgB.webp	200	hero (og:image + Article.image)	2026-09-13-the-useful-part-of-calling-nvidia-ais-central-bank
https://kenashe.ai/_astro/inline-1.5h8CxsD3.png	https://kenashe.ai/_astro/inline-1.DER1jUAC.webp	404	inline (in-page only)	2026-09-13-the-useful-part-of-calling-nvidia-ais-central-bank
https://kenashe.ai/_astro/hero.AaXe-ynu.png	https://kenashe.ai/_astro/hero.VNkC6d9v.webp	200	hero (og:image + Article.image)	2026-09-13-when-agents-lie-to-pass-the-eval
https://kenashe.ai/_astro/inline-1.uPXhoXBG.png	https://kenashe.ai/_astro/inline-1.CC1Nsno2.webp	404	inline (in-page only)	2026-09-13-when-agents-lie-to-pass-the-eval
https://kenashe.ai/_astro/inline-2.Dar2MvY0.png	https://kenashe.ai/_astro/inline-2.ByCOxZC9.webp	404	inline (in-page only)	2026-09-13-when-agents-lie-to-pass-the-eval
https://kenashe.ai/_astro/hero.DAQqcdwt.png	https://kenashe.ai/_astro/hero.DqSTOcAA.webp	200	hero (og:image + Article.image)	2026-09-14-a-vulnerability-is-not-fixed-because-an-ai-bot-saw-it
https://kenashe.ai/_astro/inline-1.CZDBDPaU.png	https://kenashe.ai/_astro/inline-1.BEGxZHnI.webp	404	inline (in-page only)	2026-09-14-a-vulnerability-is-not-fixed-because-an-ai-bot-saw-it
https://kenashe.ai/_astro/hero.CJZAYelv.png	https://kenashe.ai/_astro/hero.B3K8mytv.webp	200	hero (og:image + Article.image)	2026-09-14-garry-tans-distillation-argument-is-really-about-ai-capability-access
https://kenashe.ai/_astro/inline-1.BAzCoNJl.png	https://kenashe.ai/_astro/inline-1.De7FpTAM.webp	404	inline (in-page only)	2026-09-14-garry-tans-distillation-argument-is-really-about-ai-capability-access
https://kenashe.ai/_astro/hero.D_dzJYfZ.png	https://kenashe.ai/_astro/hero.BWe0hkfS.webp	200	hero (og:image + Article.image)	2026-09-14-jpeg-xl-is-a-workflow-question-not-a-format-war
https://kenashe.ai/_astro/inline-1.C9Qce_WB.png	https://kenashe.ai/_astro/inline-1.Cr4Ksisu.webp	404	inline (in-page only)	2026-09-14-jpeg-xl-is-a-workflow-question-not-a-format-war
https://kenashe.ai/_astro/hero.DhwM-DFE.png	https://kenashe.ai/_astro/hero.BnymGyIM.webp	200	hero (og:image + Article.image)	2026-09-14-running-async-grpo-with-lora-on-hugging-face-jobs-no-nccl-required
https://kenashe.ai/_astro/inline-1.B9B4FaU9.png	https://kenashe.ai/_astro/inline-1.BhlS9-KS.webp	200	inline (in-page only)	2026-09-14-running-async-grpo-with-lora-on-hugging-face-jobs-no-nccl-required
https://kenashe.ai/_astro/inline-2.v_DFnPMz.png	https://kenashe.ai/_astro/inline-2.Bm85tM0h.webp	200	inline (in-page only)	2026-09-14-running-async-grpo-with-lora-on-hugging-face-jobs-no-nccl-required
https://kenashe.ai/_astro/inline-3.UE12jBK4.png	https://kenashe.ai/_astro/inline-3.BZLG9oA6.webp	200	inline (in-page only)	2026-09-14-running-async-grpo-with-lora-on-hugging-face-jobs-no-nccl-required
https://kenashe.ai/_astro/hero.BVx4TEAY.png	https://kenashe.ai/_astro/hero.CEUuQVOP.webp	200	hero (og:image + Article.image)	2026-09-14-siri-as-a-model-router-not-a-single-assistant
https://kenashe.ai/_astro/inline-1.Dy10G9pX.png	https://kenashe.ai/_astro/inline-1.ClwEr7rf.webp	404	inline (in-page only)	2026-09-14-siri-as-a-model-router-not-a-single-assistant
https://kenashe.ai/_astro/hero.DI3tTuou.png	https://kenashe.ai/_astro/hero.DMA9uGy9.webp	200	hero (og:image + Article.image)	2026-09-14-the-thin-claim-behind-no-regulation-for-frontier-model-pacing
https://kenashe.ai/_astro/inline-1.C6dUyHt9.png	https://kenashe.ai/_astro/inline-1.D2lNAOV3.webp	404	inline (in-page only)	2026-09-14-the-thin-claim-behind-no-regulation-for-frontier-model-pacing
https://kenashe.ai/_astro/hero.B_hIziRH.png	https://kenashe.ai/_astro/hero.IKfV48IE.webp	200	hero (og:image + Article.image)	2026-09-14-trumps-ai-guardrails-argument-turns-safety-into-a-power-question
https://kenashe.ai/_astro/inline-1.D-uWG_Qa.png	https://kenashe.ai/_astro/inline-1.qJMoJsOi.webp	404	inline (in-page only)	2026-09-14-trumps-ai-guardrails-argument-turns-safety-into-a-power-question
https://kenashe.ai/_astro/hero.Cft6Pkmk.png	https://kenashe.ai/_astro/hero.9BvwPev-.webp	200	hero (og:image + Article.image)	2026-09-14-turn-repeat-marketing-work-into-tools-not-just-prompts
https://kenashe.ai/_astro/inline-1.CN5nLzYh.png	https://kenashe.ai/_astro/inline-1.B5tnIvF8.webp	404	inline (in-page only)	2026-09-14-turn-repeat-marketing-work-into-tools-not-just-prompts
https://kenashe.ai/_astro/hero.CiFlqT4T.png	https://kenashe.ai/_astro/hero.gCIBnsCc.webp	200	hero (og:image + Article.image)	2026-09-14-what-fyxers-ai-inbox-assistant-gets-right-about-trust
https://kenashe.ai/_astro/inline-1.CE9BZOnM.png	https://kenashe.ai/_astro/inline-1.AYUKBl04.webp	404	inline (in-page only)	2026-09-14-what-fyxers-ai-inbox-assistant-gets-right-about-trust
