# Site-hosted image URL mapping, Phase B batch 8. Hashes computed with Rollup (the algorithm Astro uses for /_astro/ asset names).
# served_today: production HTTP status of old_url before the batch. 404 = original never emitted (only sized derivatives), no redirect needed.
# old_url	new_url	served_today	role	post_slug
https://kenashe.ai/_astro/hero.vJEAk2Qj.png	https://kenashe.ai/_astro/hero.COjacAQz.webp	200	hero (og:image + Article.image)	2026-09-03-bare-assertions-are-a-weak-spot-for-medical-reasoning-models
https://kenashe.ai/_astro/inline-1.CdRQol-Z.png	https://kenashe.ai/_astro/inline-1.hUHKR8bN.webp	404	inline (in-page only)	2026-09-03-bare-assertions-are-a-weak-spot-for-medical-reasoning-models
https://kenashe.ai/_astro/hero.CV0mhruC.png	https://kenashe.ai/_astro/hero.CzcA3O1Z.webp	200	hero (og:image + Article.image)	2026-09-03-declarative-attention-lets-models-skip-the-context-they-do-not-need
https://kenashe.ai/_astro/inline-1.DZpfHLA3.png	https://kenashe.ai/_astro/inline-1.B40oW03B.webp	404	inline (in-page only)	2026-09-03-declarative-attention-lets-models-skip-the-context-they-do-not-need
https://kenashe.ai/_astro/hero.BV-641l2.png	https://kenashe.ai/_astro/hero.Dt2AA1D8.webp	200	hero (og:image + Article.image)	2026-09-03-influence-functions-point-at-the-right-data-rewriting-it-beats-reweighting-it
https://kenashe.ai/_astro/inline-1.DrxdkLVw.png	https://kenashe.ai/_astro/inline-1.Ckjmjyyq.webp	404	inline (in-page only)	2026-09-03-influence-functions-point-at-the-right-data-rewriting-it-beats-reweighting-it
https://kenashe.ai/_astro/inline-2.CKirpk4A.png	https://kenashe.ai/_astro/inline-2.GabTG_Zz.webp	404	inline (in-page only)	2026-09-03-influence-functions-point-at-the-right-data-rewriting-it-beats-reweighting-it
https://kenashe.ai/_astro/inline-3.vd1dFaYr.png	https://kenashe.ai/_astro/inline-3.BDZFOon5.webp	404	inline (in-page only)	2026-09-03-influence-functions-point-at-the-right-data-rewriting-it-beats-reweighting-it
https://kenashe.ai/_astro/hero.C6XGl_3Q.png	https://kenashe.ai/_astro/hero.BCq3O2zM.webp	200	hero (og:image + Article.image)	2026-09-03-nyc-schools-pause-generative-ai-except-for-controlled-pilots
https://kenashe.ai/_astro/inline-1.DIhA88Oc.png	https://kenashe.ai/_astro/inline-1.B__Jh-gF.webp	404	inline (in-page only)	2026-09-03-nyc-schools-pause-generative-ai-except-for-controlled-pilots
https://kenashe.ai/_astro/hero.BSlX3Na0.png	https://kenashe.ai/_astro/hero.LKPo-ilH.webp	200	hero (og:image + Article.image)	2026-09-03-repo-distilled-skills-are-the-missing-middle-layer-for-research-agents
https://kenashe.ai/_astro/inline-1.CvWpXfvt.png	https://kenashe.ai/_astro/inline-1.CbJW6zC4.webp	404	inline (in-page only)	2026-09-03-repo-distilled-skills-are-the-missing-middle-layer-for-research-agents
https://kenashe.ai/_astro/hero.D8fe5A5_.png	https://kenashe.ai/_astro/hero.Bi8HJ6R1.webp	200	hero (og:image + Article.image)	2026-09-03-web-agents-need-useful-predictions-not-prettier-page-snapshots
https://kenashe.ai/_astro/inline-1.DvhEXdU6.png	https://kenashe.ai/_astro/inline-1.j8sdogei.webp	404	inline (in-page only)	2026-09-03-web-agents-need-useful-predictions-not-prettier-page-snapshots
https://kenashe.ai/_astro/hero.CtZpkEE8.png	https://kenashe.ai/_astro/hero.BEhTwHYl.webp	200	hero (og:image + Article.image)	2026-09-03-when-a-language-models-odds-dont-add-up
https://kenashe.ai/_astro/inline-1.CbHpQcsP.png	https://kenashe.ai/_astro/inline-1.CqIyKpw5.webp	404	inline (in-page only)	2026-09-03-when-a-language-models-odds-dont-add-up
https://kenashe.ai/_astro/inline-2.C26HOKId.png	https://kenashe.ai/_astro/inline-2.Dswr1m0E.webp	404	inline (in-page only)	2026-09-03-when-a-language-models-odds-dont-add-up
https://kenashe.ai/_astro/inline-3.CSqvc_0Q.png	https://kenashe.ai/_astro/inline-3.BafLrQv7.webp	404	inline (in-page only)	2026-09-03-when-a-language-models-odds-dont-add-up
https://kenashe.ai/_astro/hero.CK73N7Wx.png	https://kenashe.ai/_astro/hero.c64kCX0t.webp	200	hero (og:image + Article.image)	2026-09-04-a-tiny-autonomous-car-testbed-makes-sim-to-real-less-hand-wavy
https://kenashe.ai/_astro/inline-1.BSZ4jfa1.png	https://kenashe.ai/_astro/inline-1.DWMC6dSj.webp	404	inline (in-page only)	2026-09-04-a-tiny-autonomous-car-testbed-makes-sim-to-real-less-hand-wavy
https://kenashe.ai/_astro/hero.D6PYQDHl.png	https://kenashe.ai/_astro/hero.BdcLzJC-.webp	200	hero (og:image + Article.image)	2026-09-04-auxiliary-views-explain-why-diverse-pre-training-data-works
https://kenashe.ai/_astro/inline-1.Dgwzk_qB.png	https://kenashe.ai/_astro/inline-1.C0rxt1cG.webp	404	inline (in-page only)	2026-09-04-auxiliary-views-explain-why-diverse-pre-training-data-works
